Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0317
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0239
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0187
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0217
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0261
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0211
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0152
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0112
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.015
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0133
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0408
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0079
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0418
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0454
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0324
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0376
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.0094
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0158
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.0214
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.032
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0404
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0192
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0293
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0399
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0277
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0178
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0151
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0169
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0475
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0236
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0186
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0203
1. Static Maze (No Agent),35,flow_success,60,3,1,1,0.0237
1. Static Maze (No Agent),36,flow_success,96,3,1,1,0.0468
1. Static Maze (No Agent),37,flow_success,88,3,1,1,0.0422
